paper_id,doi,title,year,journal,url,local_filename,access_type,dataset_scope,priority,primary_experimental,has_supplement,downloaded,full_text_verified,notes
FREE-1,10.1016/j.jma.2023.07.002,Catalytic mechanisms of nickel nanoparticles for the improved dehydriding kinetics of magnesium hydride,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.07.002,data/phase4_data_sources/core_primary/carbon_supported/FREE-1__2024__Ni_at_C.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (11 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Already present locally despite being listed among papers to acquire; not downloaded again. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-2,10.1016/j.jma.2022.07.004,In situ formation of multiple catalysts for enhancing the hydrogen storage of MgH2 by adding porous Ni3ZnC0.7/Ni loaded carbon nanotubes microspheres,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2022.07.004,data/phase4_data_sources/core_primary/carbon_supported/FREE-2__2024__Ni3ZnC_Ni_at_CNT.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/f85edf0d-3450-4cfa-b9ec-b099e38eef2e.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-3,10.1016/j.jma.2023.10.003,Layered double hydroxide-derived Mg2Ni/TiH1.5 composite catalysts for enhancing hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.10.003,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-3__2024__Mg2Ni_TiH1p5.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/0e0c16d0-f950-4631-9ccd-83d5cc58e5c7.pdf LDH-derived catalyst compositions and controls; promising later extraction candidate. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-4,10.1016/j.jma.2022.04.006,Improvement effect of reversible solid solutions Mg2Ni(Cu)/ Mg2Ni(Cu)H4 on hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2022.04.006,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-4__2024__NiCu_at_C.pdf,open_access_version_of_record,core_mgh2,high,true,unknown,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/c079771a-ec93-4d87-8487-8203af4dc4f8.pdf"
FREE-5,10.1016/j.jma.2023.11.010,Hydrogen storage performance of MgH2 under catalysis by highly dispersed nickel-nanoparticle–doped hollow spherical vanadium nitride,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.11.010,data/phase4_data_sources/core_primary/nitrides_carbides_mxenes/FREE-5__2024__Ni_VN.pdf,open_access_version_of_record,core_mgh2,high,true,unknown,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-23/d5fe1e5b-3a8a-4271-9b7c-748e6e621bb0.pdf"
FREE-6,10.1016/j.matre.2023.100247,Improved hydrogen storage kinetics of MgH2 using TiFe0.92Mn0.04Co0.04 with in-situ generated α-Fe as catalyst,2024,Materials Reports: Energy,https://doi.org/10.1016/j.matre.2023.100247,,open_access_version_of_record,core_mgh2,medium,unknown,unknown,false,false,ACCESS-BLOCKED: Publisher identifies gold OA; ScienceDirect download returned 403/human verification. No usable alternate public repository found. Retained as a relevant experimental candidate based on guide and bibliographic/abstract screening; full-text experimental scope is not verified.
FREE-7,10.1016/j.jma.2024.03.025,LaVO4 prepared by a high–yield method for superior catalysis to the hydrogen storage of MgH2,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.03.025,data/phase4_data_sources/core_primary/oxides/FREE-7__2025__LaVO4.pdf,open_access_version_of_record,core_mgh2,medium,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (13 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-14/9c3e8bca-8a7b-43f5-9acd-2a399951c0a9.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-8,10.1016/j.jma.2024.02.012,Constructing VO/V2O3 interface to enhance hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.02.012,data/phase4_data_sources/core_primary/oxides/FREE-8__2024__VO_V2O3.pdf,open_access_version_of_record,core_mgh2,medium,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-23/eaab7239-56f3-408c-a9ad-ae01a64bf454.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-9,10.1016/j.jma.2021.11.005,NaH doped TiO2 as a high-performance catalyst for Mg/MgH2 cycling stability and room temperature absorption,2023,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2021.11.005,data/phase4_data_sources/core_primary/oxides/FREE-9__2023__NaH_TiO2.pdf,open_access_version_of_record,core_mgh2,medium,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/5d9b0262-34d1-4d09-9b1d-67f230d3d2b1.pdf Priority for later extraction: catalyst precursor-ratio variation, controls, cycling and room-temperature absorption experiments. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
FREE-10,10.1016/j.jma.2025.01.012,Vanadium induces Ni-Co MOF formation from a NiCo LDH to catalytically enhance the MgH2 hydrogen storage performance,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.01.012,data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-10__2025__V_NiCo_MOF.pdf,open_access_version_of_record,core_mgh2,high,true,true,true,true,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-06-25/a8db062b-743e-4865-b506-faff9e22874f.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked."
