paper_id,doi,title,year,journal,source_url,download_provenance,historical_path,sha256,pages,license,classification,license_evidence,supplement_doi,supplement_url,distribution,reason
FREE-10,10.1016/j.jma.2025.01.012,Vanadium induces Ni-Co MOF formation from a NiCo LDH to catalytically enhance the MgH2 hydrogen storage performance,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.01.012,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-06-25/a8db062b-743e-4865-b506-faff9e22874f.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-10__2025__V_NiCo_MOF.pdf,848e02d3a70e6ffa9312ad1a8bb5423b18cd625620822c95dce996391541846c,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-3,10.1016/j.jma.2023.10.003,Layered double hydroxide-derived Mg2Ni/TiH1.5 composite catalysts for enhancing hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.10.003,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (10 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/0e0c16d0-f950-4631-9ccd-83d5cc58e5c7.pdf LDH-derived catalyst compositions and controls; promising later extraction candidate. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-3__2024__Mg2Ni_TiH1p5.pdf,8e90ab9257cc85ffcc9658589878d92f611d7e1c8cc5530486f53ea7d9b482ea,10,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-4,10.1016/j.jma.2022.04.006,Improvement effect of reversible solid solutions Mg2Ni(Cu)/ Mg2Ni(Cu)H4 on hydrogen storage performance of MgH2,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2022.04.006,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/c079771a-ec93-4d87-8487-8203af4dc4f8.pdf",data/phase4_data_sources/core_primary/bimetallic_multimetallic/FREE-4__2024__NiCu_at_C.pdf,dd2952e502b4dc48622f0d9e52d1a2c64edf888821fcc088856b0344f02a3388,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-17,10.1016/s1003-6326(24)66565-9,Vermiform Ni@CNT derived from one-pot calcination of Ni-MOF precursor for improving hydrogen storage of MgH2,2024,Transactions of Nonferrous Metals Society of China,https://doi.org/10.1016/s1003-6326(24)66565-9,"Locally supplied full article subsequently obtained through a legitimate route; title and DOI matched, readable complete 16-page version-of-record PDF verified. Original provenance preserved: the official TNMSC PDF handler had returned HTTP 500 and the ScienceDirect route was blocked, so the earlier acquisition attempt failed even though the article is open access. Supplementary figures are referenced; no separate supplement file was acquired.",data/phase4_data_sources/core_primary/carbon_supported/FREE-17__2024__Ni_at_CNT.pdf,8e693025638d461050a612d77909ad8591a5e815b5ed317b65a867bd51443ee6,16,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-1,10.1016/j.jma.2023.07.002,Catalytic mechanisms of nickel nanoparticles for the improved dehydriding kinetics of magnesium hydride,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.07.002,"Existing full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (11 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Already present locally despite being listed among papers to acquire; not downloaded again. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/carbon_supported/FREE-1__2024__Ni_at_C.pdf,cb7f601481001cce5a28b4392d68cee08a1131bf4713111798b591356551d16c,11,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-2,10.1016/j.jma.2022.07.004,In situ formation of multiple catalysts for enhancing the hydrogen storage of MgH2 by adding porous Ni3ZnC0.7/Ni loaded carbon nanotubes microspheres,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2022.07.004,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-05/f85edf0d-3450-4cfa-b9ec-b099e38eef2e.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/carbon_supported/FREE-2__2024__Ni3ZnC_Ni_at_CNT.pdf,f0d6d62754d05c32abf03fd806d0ba3d995e28ede79b891ffade7def9b1853aa,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-5,10.1016/j.jma.2023.11.010,Hydrogen storage performance of MgH2 under catalysis by highly dispersed nickel-nanoparticle–doped hollow spherical vanadium nitride,2024,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2023.11.010,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2025-12-23/d5fe1e5b-3a8a-4271-9b7c-748e6e621bb0.pdf",data/phase4_data_sources/core_primary/nitrides_carbides_mxenes/FREE-5__2024__Ni_VN.pdf,3b4bea41f45c0aef096b24e863c381fec081893bd4261d9585c24fdddc1703d4,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-11,10.1016/j.jma.2024.12.015,Graphene oxide supported oxygen vacancy-rich Co3O4 and Ni nanoparticle for boosting the hydrogen storage properties of MgH2,2026,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.12.015,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-11/3fcc2b60-2a86-4f0f-8c0c-a546295de8b8.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-11__2026__Co3O4_Ni_GO.pdf,e0e60665133ed5489b50e703037e62c919bbfacab431029f4a195113962cbe90,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-12,10.1016/j.jma.2025.06.014,Enhancing hydrogen storage performance of MgH2 with hollow Bi2Ti2O7 catalyst: Synergistic effects of Bi2Mg3 alloy phase and Ti polyvalency,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2025.06.014,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (13 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-08-17/51712e2c-24d4-47de-be83-051ab32e6fee.pdf Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-12__2025__Bi2Ti2O7.pdf,812e05802362b9fd3a6ec6e3ed0290d3a2469741cd97ba129dab1855062e2acb,13,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
FREE-14,10.1016/j.jma.2024.10.011,Cation-induced topical disordered niobium nickel oxide for robust hydrogen storage in magnesium hydride,2025,Journal of Magnesium and Alloys,https://doi.org/10.1016/j.jma.2024.10.011,"New full article; title and DOI matched, complete article and readable PDF confirmed in saved verification (12 pages). Primary Mg/MgH2 catalyst/additive hydrogen-storage experiments confirmed; no experimental records extracted. Download source: https://wqketang.cn-beijing.oss.aliyuncs.com/office/journal_prod/2026-07-14/465a81e3-e736-4011-9151-bba6dba46b27.pdf Ni-Nb composition/control comparison; promising systematic catalyst study. Supplement referenced/advertised; no associated supplement file obtained from the public routes checked.",data/phase4_data_sources/core_primary/oxides/FREE-14__2025__Ni_Nb_oxide.pdf,03ce2369e08aa6892bd301bdd5ebec05701d664d9a828b82bc551f1d39646334,12,CC BY-NC-ND 4.0,redistribution explicitly permitted (conditional),Publisher PDF page 1,,,not distributed,Omitted for repository size and separation of publication rights from software.
