measurement_id,sample_id,source_id,measurement_mode,experiment_type,temperature_raw,temperature_c,pressure_raw,pressure_bar,pressure_relation,duration_raw,duration_seconds,hydrogen_capacity_wt_pct,capacity_lower_wt_pct,capacity_upper_wt_pct,capacity_basis,value_qualifier,reported_uncertainty_wt_pct,cycle_number,source_pdf_page,source_locator,extraction_type,extraction_note,include_in_default_training
M-0001,S-F01-CTRL,SRC-0001,desorption,isothermal_kinetics,300 C,300,,,,30 min,1800,3.1,,,sample mass,reported,,,6,Section 3.2; Fig. 3d,author_reported_text,,true
M-0002,S-F01-NIC10,SRC-0001,desorption,isothermal_kinetics,300 C,300,,,,7.5 min,450,5.4,,,sample mass,reported,,,6,Section 3.2; Fig. 3d,author_reported_text,,true
M-0003,S-F01-NIC10,SRC-0001,absorption,isothermal_kinetics,75 C,75,2 MPa,20,=,200 min,12000,4.6,,,sample mass,reported,,,6,Section 3.2; Fig. S4,author_reported_text,,true
M-0004,S-F01-CTRL,SRC-0001,absorption,isothermal_kinetics,75 C,75,2 MPa,20,=,200 min,12000,1.7,,,sample mass,reported,,,6,Section 3.2; Fig. S4,author_reported_text,,true
M-0005,S-F02-NZC5,SRC-0002,absorption,isothermal_kinetics,80 C,80,5 MPa,50,=,60 min,3600,2.34,,,sample mass,reported,,,7,Section 3.2; Fig. 5c,author_reported_text,,true
M-0006,S-F02-NZC5,SRC-0002,absorption,isothermal_kinetics,150 C,150,5 MPa,50,=,60 s,60,5.76,,,sample mass,reported,,,2,Introduction summary of this work,author_reported_text,,true
M-0007,S-F02-NZC5,SRC-0002,desorption,isothermal_kinetics,300 C,300,0 MPa,0,=,30 min,1800,4.31,,,sample mass,reported,,,7,Section 3.2; Fig. 5d,author_reported_text,,true
M-0008,S-F02-NZC5,SRC-0002,desorption,isothermal_kinetics,300 C,300,0 MPa,0,=,60 min,3600,5.36,,,sample mass,reported,,,7,Section 3.2; Fig. 5d,author_reported_text,,true
M-0009,S-F02-NZC2P5,SRC-0002,desorption,isothermal_kinetics,300 C,300,0 MPa,0,=,60 min,3600,4.25,,,sample mass,reported,,,7,Section 3.2; Fig. 5b,author_reported_text,,true
M-0010,S-F02-NZC7P5,SRC-0002,desorption,isothermal_kinetics,300 C,300,0 MPa,0,=,60 min,3600,4.31,,,sample mass,reported,,,7,Section 3.2; Fig. 5f,author_reported_text,,true
M-0011,S-F03-CTRL,SRC-0003,desorption,isothermal_kinetics,300 C,300,0.0001 MPa,0.001,=,50 min,3000,1.4,,,sample mass,reported,,,3,Section 3.2; Fig. 3a,author_reported_text,,true
M-0012,S-F03-MMO41,SRC-0003,desorption,isothermal_kinetics,300 C,300,0.0001 MPa,0.001,=,5 min,300,5.97,,,sample mass,reported,,,5,Section 3.2; Fig. 3c,author_reported_text,,true
M-0013,S-F03-MMO41,SRC-0003,desorption,isothermal_kinetics,250 C,250,0.0001 MPa,0.001,=,20 min,1200,4.46,,,sample mass,reported,,,5,Section 3.2; Fig. 3c,author_reported_text,,true
M-0014,S-F04-NICU11,SRC-0004,desorption,isothermal_kinetics,300 C,300,0.005 MPa,0.05,=,600 s,600,5.3,,,sample mass,reported,,,4,Section 3.2; Fig. 3a,author_reported_text,,true
M-0015,S-F04-NICU11,SRC-0004,desorption,isothermal_kinetics,275 C,275,0.005 MPa,0.05,=,1200 s,1200,5,,,sample mass,approximately,,,4,Section 3.2; Fig. 3b,author_reported_text,,true
M-0016,S-F04-NICU11,SRC-0004,desorption,isothermal_kinetics,260 C,260,0.005 MPa,0.05,=,2800 s,2800,5,,,sample mass,approximately,,,4,Section 3.2; Fig. 3b,author_reported_text,,true
M-0017,S-F04-NICU11,SRC-0004,desorption,isothermal_kinetics,250 C,250,0.005 MPa,0.05,=,5000 s,5000,5,,,sample mass,approximately,,,4,Section 3.2; Fig. 3b,author_reported_text,,true
M-0018,S-F04-NICU11,SRC-0004,absorption,isothermal_kinetics,150 C,150,3 MPa,30,=,30 min,1800,5,,,sample mass,reported,,,5,Section 3.2; Fig. 4a,author_reported_text,,true
M-0019,S-F04-NICU11,SRC-0004,absorption,isothermal_kinetics,125 C,125,3 MPa,30,=,30 min,1800,4.3,,,sample mass,reported,,,5,Section 3.2; Fig. 4a,author_reported_text,,true
M-0020,S-F04-NICU11,SRC-0004,absorption,isothermal_kinetics,115 C,115,3 MPa,30,=,30 min,1800,2.9,,,sample mass,reported,,,5,Section 3.2; Fig. 4a,author_reported_text,,true
M-0021,S-F04-NICU11,SRC-0004,absorption,isothermal_kinetics,100 C,100,3 MPa,30,=,30 min,1800,2,,,sample mass,reported,,,5,Section 3.2; Fig. 4a,author_reported_text,,true
M-0022,S-F05-NIVN7,SRC-0005,desorption,isothermal_kinetics,598 K,324.85,,,,180 s,180,6.4,,,sample mass,reported,,,7,Section 3.2; Fig. 4c,author_reported_text,,true
M-0023,S-F05-NIVN7,SRC-0005,desorption,isothermal_kinetics,598 K,324.85,,,,10 min,600,6.85,,,sample mass,approximately,,,6,Section 3.2; Fig. 4c,author_reported_text,,true
M-0024,S-F05-NIVN7,SRC-0005,desorption,isothermal_kinetics,513 K,239.85,,,,1 h,3600,5.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4c,author_reported_text,,true
M-0025,S-F05-NIVN7,SRC-0005,absorption,isothermal_kinetics,423 K,149.85,3 MPa,30,=,5 min,300,6,,,sample mass,approximately,,,7,Section 3.2; Fig. 4f,author_reported_text,,true
M-0026,S-F05-VN7,SRC-0005,desorption,isothermal_kinetics,598 K,324.85,,,,180 s,180,5.8,,,sample mass,reported,,,7,Section 3.2; Fig. 4d,author_reported_text,,true
M-0027,S-F05-CTRL,SRC-0005,desorption,isothermal_kinetics,598 K,324.85,,,,180 s,180,0.2,,,sample mass,reported,,,7,Section 3.2; Fig. 4e,author_reported_text,,true
M-0028,S-F05-CTRL,SRC-0005,desorption,isothermal_kinetics,598 K,324.85,,,,1 h,3600,6.67,,,sample mass,approximately,,,7,Section 3.2; Fig. 4e,author_reported_text,,true
M-0029,S-F05-CTRL,SRC-0005,desorption,isothermal_kinetics,648 K,374.85,,,,180 s,180,3.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4e,author_reported_text,,true
M-0030,S-F05-CTRL,SRC-0005,absorption,isothermal_kinetics,423 K,149.85,3 MPa,30,=,1 h,3600,0.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4f,author_reported_text,,true
M-0031,S-F05-CTRL,SRC-0005,absorption,isothermal_kinetics,473 K,199.85,3 MPa,30,=,1 h,3600,5.6,,,sample mass,reported,,,7,Section 3.2; Fig. 4f,author_reported_text,,true
M-0032,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,250 C,250,static vacuum,,,3 min,180,5.7,,,sample mass,reported,,,7,Section 3.2; Fig. 5a,author_reported_text,Capacity reached a stable value after the stated hold time.,true
M-0033,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,210 C,210,static vacuum,,,20 min,1200,3,,,sample mass,approximately,,,7,Section 3.2; Fig. 5a,author_reported_text,,true
M-0034,S-F06-LVO15,SRC-0006,desorption,isothermal_kinetics,230 C,230,static vacuum,,,20 min,1200,5.2,,,sample mass,approximately,,,7,Section 3.2; Fig. 5a,author_reported_text,,true
M-0035,S-F06-LVO15,SRC-0006,absorption,isothermal_kinetics,50 C,50,5 MPa,50,=,30 min,1800,3.2,,,sample mass,approximately,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
M-0036,S-F06-LVO15,SRC-0006,absorption,isothermal_kinetics,100 C,100,5 MPa,50,=,20 min,1200,4.9,,,sample mass,reported,,,8,Section 3.2; Fig. 5b,author_reported_text,,true
