measurement_id,sample_id,source_id,paper_id,experiment_group_id,catalyst_system_group,base_material,material_class,catalyst_additive,catalyst_family,catalyst_composition,catalyst_components,catalyst_elements,support_material,catalyst_loading_wt_pct,preparation_method,milling_time_h,milling_speed_rpm,ball_to_powder_ratio,mgh2_particle_size_raw,catalyst_particle_size_raw,measurement_mode,experimental_method,temperature_c,pressure_bar,pressure_relation,duration_seconds,hydrogen_capacity_wt_pct,capacity_basis,value_qualifier,extraction_type,source_pdf_page,source_locator
M-0001,S-F01-CTRL,SRC-0001,FREE-1,EG-F01-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,high-energy ball milling,10,,5:1,<20 um,,desorption,isothermal_kinetics,300,,,1800,3.1,sample mass,reported,author_reported_text,6,Section 3.2; Fig. 3d
M-0002,S-F01-NIC10,SRC-0001,FREE-1,EG-F01-KIN,NI_CARBON,MgH2,single_hydride,Ni@C,carbon_supported_metal,Ni nanoparticles supported in mesoporous carbon,Ni|C,Ni|C,mesoporous carbon,10,high-energy ball milling after MgH2 premilling,2,,5:1,<20 um,Ni mean 10.2 nm,desorption,isothermal_kinetics,300,,,450,5.4,sample mass,reported,author_reported_text,6,Section 3.2; Fig. 3d
M-0003,S-F01-NIC10,SRC-0001,FREE-1,EG-F01-KIN,NI_CARBON,MgH2,single_hydride,Ni@C,carbon_supported_metal,Ni nanoparticles supported in mesoporous carbon,Ni|C,Ni|C,mesoporous carbon,10,high-energy ball milling after MgH2 premilling,2,,5:1,<20 um,Ni mean 10.2 nm,absorption,isothermal_kinetics,75,20,=,12000,4.6,sample mass,reported,author_reported_text,6,Section 3.2; Fig. S4
M-0004,S-F01-CTRL,SRC-0001,FREE-1,EG-F01-KIN,MGH2_CONTROL,MgH2,single_hydride,,none,,,Mg,,0,high-energy ball milling,10,,5:1,<20 um,,absorption,isothermal_kinetics,75,20,=,12000,1.7,sample mass,reported,author_reported_text,6,Section 3.2; Fig. S4
M-0005,S-F02-NZC5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,5,planetary ball milling,12,450,30:1,,,absorption,isothermal_kinetics,80,50,=,3600,2.34,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5c
M-0006,S-F02-NZC5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,5,planetary ball milling,12,450,30:1,,,absorption,isothermal_kinetics,150,50,=,60,5.76,sample mass,reported,author_reported_text,2,Introduction summary of this work
M-0007,S-F02-NZC5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,5,planetary ball milling,12,450,30:1,,,desorption,isothermal_kinetics,300,0,=,1800,4.31,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5d
M-0008,S-F02-NZC5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,5,planetary ball milling,12,450,30:1,,,desorption,isothermal_kinetics,300,0,=,3600,5.36,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5d
M-0009,S-F02-NZC2P5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,2.5,planetary ball milling,12,450,30:1,, ,desorption,isothermal_kinetics,300,0,=,3600,4.25,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5b
M-0010,S-F02-NZC7P5,SRC-0002,FREE-2,EG-F02-KIN,NI_ZN_C_CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,7.5,planetary ball milling,12,450,30:1,,,desorption,isothermal_kinetics,300,0,=,3600,4.31,sample mass,reported,author_reported_text,7,Section 3.2; Fig. 5f
