sample_id,source_id,sample_label,base_material,material_class,catalyst_additive_raw,catalyst_family,catalyst_composition,catalyst_components,catalyst_elements,support_material,additive_loading_wt_pct,additive_ratio_raw,preparation_method,milling_time_h,milling_speed_rpm,ball_to_powder_ratio,milling_atmosphere,catalyst_synthesis_method,catalyst_pretreatment,mgh2_particle_size_raw,catalyst_particle_size_raw,experiment_group_id,catalyst_system_group,control_type,sample_note
S-F01-CTRL,SRC-0001,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,high-energy ball milling,10,,5:1,Ar glovebox,,,<20 um,,EG-F01-KIN,MGH2_CONTROL,as_milled_control,
S-F01-NIC10,SRC-0001,MgH2-Ni@C,MgH2,single_hydride,Ni@C,carbon_supported_metal,Ni nanoparticles supported in mesoporous carbon,Ni|C,Ni|C,mesoporous carbon,10,Ni@C:MgH2 = 1:9 by mass,high-energy ball milling after MgH2 premilling,2,,5:1,Ar glovebox,support-sacrificing synthesis,650 C for 2 h under nitrogen,<20 um,Ni mean 10.2 nm,EG-F01-KIN,NI_CARBON,,
S-F02-NZC2P5,SRC-0002,MgH2-2.5 wt% NZC/Ni@CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,2.5,,planetary ball milling,12,450,30:1,Ar,filtration and calcination,,,,EG-F02-KIN,NI_ZN_C_CNT,,
S-F02-NZC5,SRC-0002,MgH2-5 wt% NZC/Ni@CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,5,,planetary ball milling,12,450,30:1,Ar,filtration and calcination,,,,EG-F02-KIN,NI_ZN_C_CNT,,
S-F02-NZC7P5,SRC-0002,MgH2-7.5 wt% NZC/Ni@CNT,MgH2,single_hydride,NZC/Ni@CNT,carbon_supported_carbide_metal,Ni3ZnC0.7 and Ni on carbon nanotubes,Ni3ZnC0.7|Ni|CNT,Ni|Zn|C,carbon nanotubes,7.5,,planetary ball milling,12,450,30:1,Ar,filtration and calcination,,,,EG-F02-KIN,NI_ZN_C_CNT,,
S-F03-CTRL,SRC-0003,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,planetary ball milling,6,400,40:1,1.2 bar Ar,,,<10 um,,EG-F03-KIN,MGH2_CONTROL,as_milled_control,
S-F03-MMO41,SRC-0003,MgH2-5% MMO41,MgH2,single_hydride,MMO41,bimetallic_oxide_precursor,NiO-TiO2 derived Mg2Ni-TiH1.5 catalyst,NiO|TiO2|Mg2Ni|TiH1.5,Ni|Ti|O|Mg,,5,Ni2+:Ti4+ precursor molar ratio 4:1,planetary ball milling,6,400,40:1,1.2 bar Ar,coprecipitation and calcination,500 C for 2 h in O2/Ar,<10 um,,EG-F03-KIN,NI_TI_MMO,,
S-F04-NICU11,SRC-0004,MgH2-11 wt% NiCu@C,MgH2,single_hydride,NiCu@C,carbon_supported_bimetal,Ni-Cu alloy supported on carbon,Ni|Cu|C,Ni|Cu|C,carbon,11,,planetary ball milling,10,400,40:1,Ar,,,,,EG-F04-KIN,NI_CU_CARBON,,2 wt% graphite grinding aid reported for composite preparation.
S-F05-CTRL,SRC-0005,as-milled MgH2,MgH2,single_hydride,,none,,,Mg,,0,,planetary ball milling,10,400,40:1,Ar,,,,,EG-F05-KIN,MGH2_CONTROL,as_milled_control,
S-F05-VN7,SRC-0005,MgH2-7 wt% VN,MgH2,single_hydride,VN,nitride,VN,VN,V|N,,7,,planetary ball milling,10,400,40:1,Ar,,,,,EG-F05-KIN,V_NITRIDE,single_component_control,
