experiment_id,model,feature_set,augmentation,preprocessing,regularization,hyperparameters,seed,grouping_strategy,grouped_mae,grouped_rmse,grouped_r2,absorption_mae,absorption_rmse,desorption_mae,desorption_rmse,median_source_mae,worst_source_mae,notes
simple_mean_catboost_random_forest,ensemble,feature_a_deployment_no_family,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"""equal weights""",42,LeaveOneGroupOut(source_id),1.164457299205106,1.5568113662073244,0.3248979894647772,1.2705361840528508,1.619068955301278,1.0745599391646448,1.5020319771573158,0.9040555471650387,1.8734369353366986,Locked-contract CatBoost + Random Forest
nested_weighted_catboost_random_forest,ensemble,feature_a_deployment_no_family,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"""outer-training grouped-CV inverse-MAE weights""",42,LeaveOneGroupOut(source_id),1.164555738391995,1.5570662280689858,0.32467693270410214,1.2708798504033343,1.6195903593932226,1.0744505587213689,1.5020436608938992,0.9039257978202486,1.8751331651515575,Locked-contract CatBoost + Random Forest
B9_catboost_champion_contract,catboost,feature_a_deployment_no_family,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,fixed conservative configuration,"{""depth"": 4, ""iterations"": 350, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}",42,LeaveOneGroupOut(source_id),1.1693393239271328,1.549312598996226,0.33138591818899765,1.2477751491255882,1.5871211433426178,1.1028682856233567,1.5165337513680082,0.9458946033762974,1.849644032221931,CatBoost comparison on the exact final Random Forest feature contract
T8_random_forest_deployment_no_family,random_forest,feature_a_deployment_no_family,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"""parameters selected on outer training papers for the parent contract""",42,LeaveOneGroupOut(source_id),1.1793365364473378,1.5816135805963518,0.30321597556810376,1.3070213466539544,1.6674690452015621,1.071129070170544,1.50502556238414,0.9521417433548834,1.9409451707670762,"Catalyst family removed: simpler and less paper-specific, with comparable or better grouped metrics"
T5_random_forest_deployment_nested_tuned,random_forest,feature_a_deployment,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"[{""max_depth"": 4, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 400}, {""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 400}, {""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 400}, {""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 400}, {""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 400}, {""max_depth"": 8, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 400}]",42,LeaveOneGroupOut(source_id),1.1834445350595768,1.5883688648339578,0.2972511479328239,1.3049786813444906,1.6695506141652263,1.0804494958350734,1.5161718255526662,0.9897701438036006,1.9327423451688712,Nested source-grouped tuning of the locked deployment contract
T6_random_forest_identity_sensitivity,random_forest,feature_b_deployment_no_family,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"""outer training-paper choices""",42,LeaveOneGroupOut(source_id),1.187286425755266,1.5866520382968285,0.29876949278180265,1.319076089315964,1.6800919112400934,1.0756002701953522,1.5029248871479493,0.9883120882675839,1.9514623063877559,Exact identity added to the locked Random Forest contract
T4_random_forest_deployment_fixed,random_forest,feature_a_deployment,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,fixed conservative configuration,"{""max_depth"": 6, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""random_state"": 42}",42,LeaveOneGroupOut(source_id),1.190201014092209,1.6081775242742475,0.2796137907201004,1.3078686364673615,1.6793686852243617,1.0904826900454692,1.5452806802183137,0.9544989064971328,1.8658116260388833,Random Forest on the locked deployment contract
B5_catboost_b_reduced,catboost,feature_b_reduced,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,nested grouped tuning,"""outer training-paper choices""",42,LeaveOneGroupOut(source_id),1.2008798119848443,1.5758615846033805,0.30827487367420603,1.2982458854867458,1.613658826246919,1.1183661903730635,1.5431054458906015,1.03778200298689,1.8319583683388228,Uses parameters chosen without the outer paper for the generalization-oriented candidate
B8_catboost_deployment_fixed,catboost,feature_a_deployment,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,fixed conservative configuration,"{""depth"": 4, ""iterations"": 350, ""l2_leaf_reg"": 10.0, ""learning_rate"": 0.03}",42,LeaveOneGroupOut(source_id),1.2031396477165026,1.5785986294308754,0.3058699329390928,1.3067970055042943,1.6233807188518679,1.1152944292522726,1.539628383859003,1.0181599693236865,1.8178386803452606,CatBoost on the locked deployment contract
T3_random_forest_a_reduced,random_forest,feature_a_reduced,not_used,fold-local median/OHE and deterministic derived features; element multi-hot where enabled,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2066721665667361,1.6225311935013667,0.266696895059248,1.3388931034423703,1.708000207931862,1.0946205251467072,1.5464063268670802,1.0875950495494717,1.8826038307813284,Random Forest using the reduced generalization-oriented contract
