feature,importance
numeric__catalyst_loading_wt_pct,20.455576587813386
numeric__temperature_c,18.958052764807256
numeric__explicit_component_count,16.316316404230808
numeric__catalyst_present,10.393241597972777
numeric__log_duration_seconds,9.539877231257062
numeric__duration_seconds,7.713292095533781
categorical__measurement_mode_absorption,4.505340835442472
categorical__measurement_mode_desorption,3.9211408138112533
categorical__support_material_porous petroleum coke carbon,2.9067617257708664
categorical__support_material___missing__,1.9018826136797702
numeric__support_reported,1.763095515303602
categorical__support_material_graphene oxide,0.42033564375570054
numeric__loading_missing,0.404804891502739
categorical__support_material_VN,0.34159091912812467
categorical__support_material_MgO,0.23462524762842002
categorical__support_material_carbon,0.12164022286136307
categorical__support_material_carbon nanotubes,0.09598162331081952
categorical__support_material_mesoporous carbon,0.006443266189820615
