experiment_id,model,feature_set,augmentation,preprocessing,regularization,hyperparameters,seed,grouping_strategy,grouped_mae,grouped_rmse,grouped_r2,absorption_mae,absorption_rmse,desorption_mae,desorption_rmse,median_source_mae,worst_source_mae,notes
B1_catboost_b,catboost,feature_b,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2524586218025517,1.666569889929154,0.226350095582168,1.3634145526302073,1.6635093059374457,1.1584281719486074,1.669159212059535,1.1719607207740736,2.1323044803863045,Identity-aware shallow boosting
B0_catboost_a,catboost,feature_a,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2716467849676407,1.694224996097257,0.20046112680575234,1.3687780074486309,1.6794162524990788,1.1893321896447675,1.7066741932815448,1.235501312440841,2.117765126795621,Shallow regularized boosting
T0_random_forest_a,random_forest,feature_a,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.2752935979358304,1.7126158816737007,0.18300885750288287,1.4326453927889773,1.7935194894328064,1.1419446192467224,1.6409339335939253,1.2667931869201063,2.1804014250717523,Regularized bagged trees
T1_extra_trees_a,extra_trees,feature_a,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.3448356745102572,1.7971632386404617,0.10035231485757534,1.4861067946616728,1.8647920492677732,1.225114386246346,1.737791617465842,1.3054965303547923,2.1501827696983704,Regularized randomized trees
T2_extra_trees_b,extra_trees,feature_b,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.3490348600871311,1.79543729222197,0.1020794791578652,1.489869741324478,1.8704012094782936,1.2296832658181933,1.729366634535113,1.3047831232590383,2.1182160270724575,Identity-aware randomized trees
L3_ridge_feature_b,ridge,feature_b,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 10.0}",42,LeaveOneGroupOut(source_id),1.405444474009311,1.8264954876072468,0.07074561057544226,1.3650025757865427,1.7161682632328317,1.4397172691133524,1.9150238885744177,1.3133003975185695,2.8087771844679885,Identity-aware chemistry
L0_ridge_compact,ridge,compact,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 10.0}",42,LeaveOneGroupOut(source_id),1.414739308771999,1.7556069767782867,0.14147685053480663,1.385918094830003,1.6325996594046592,1.439164066349962,1.8534708897462224,1.2437625419393057,2.1747336551322705,Compact linear baseline
L2_ridge_feature_a,ridge,feature_a,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 10.0}",42,LeaveOneGroupOut(source_id),1.422984130373068,1.8368170263879429,0.0602134897637,1.4082868586414057,1.7572517868755155,1.4354394453999004,1.9016409408846136,1.3835905677118059,2.6485397005040037,Generalization-oriented chemistry
L4_ridge_interactions,ridge,feature_a_interactions,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 10.0}",42,LeaveOneGroupOut(source_id),1.4356977837901124,1.842147037079655,0.054751498014242284,1.4349348558193058,1.7838679130414874,1.4363443329179142,1.890129963333514,1.4840618417455662,2.415547461848312,Two controlled interactions
L1_ridge_conditions,ridge,conditions,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 10.0}",42,LeaveOneGroupOut(source_id),1.5002723953563555,1.8370747689647744,0.05994972915201968,1.5537578910724676,1.7622564279737745,1.4549457040715148,1.8981729759047758,1.4669582918370012,2.1301085970588423,Conditions and missingness
D0_dummy_median,dummy_median,compact,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,{},42,LeaveOneGroupOut(source_id),1.5243119266055052,1.9852867054287886,-0.09785221544732292,1.4457999999999998,1.9061943762376385,1.5908474576271185,2.0499266212580323,1.5318333333333332,2.54,Naive median reference
L5_elastic_feature_a,elastic_net,feature_a,not_used,fold-local median/explicit missing/OHE/element multi-hot,fixed conservative configuration,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",42,LeaveOneGroupOut(source_id),1.5339856129865714,1.9491402163942386,-0.058238551132008265,1.5136894224968904,1.8583924260106146,1.5511857744185047,2.0228607286038973,1.5353829933787513,2.6900872776633147,Regularized sparse linear sensitivity
