training_papers,repeat,held_source,training_rows,mae,rmse,r2
3,0,SRC-0001,17,0.7898707321041007,0.9169978944183569,0.5826872762443176
3,1,SRC-0002,15,1.3504082167426887,1.65762521473741,-1.3375965339716274
3,2,SRC-0003,16,1.9006731226945437,2.114637141521452,-0.23722546198478156
3,3,SRC-0004,21,0.7410546002679367,1.0232923218382457,0.17942770589299728
3,4,SRC-0005,23,1.6739378164888552,2.4013547722351025,-0.06445788691970367
3,5,SRC-0006,27,1.4643494811875617,1.6724722314476628,-0.0884768494537218
3,6,SRC-0007,21,1.3103593229913546,1.4811009220312124,-0.2241481065127675
3,7,SRC-0008,17,2.319112473735351,2.5754941543793852,-3.1146145643833414
3,8,SRC-0009,18,1.1675827865893187,1.2452275834525308,0.7320909908499279
3,9,SRC-0010,18,1.8890069887783734,2.257760735110906,0.08940798985640175
3,10,SRC-0011,21,0.8993281269587238,1.1155328171571361,0.6141064422436192
3,11,SRC-0012,17,1.2197686962598684,1.3711648725610255,-0.8313003977721518
3,12,SRC-0013,21,2.2782645248714224,2.732433894963148,-0.15580694075111245
3,13,SRC-0014,21,1.7736511093999596,2.4376335188323757,-1.3951001441764936
3,14,SRC-0015,19,0.9530115912174031,1.3169667231134283,-2.2996934122009436
3,15,SRC-0016,28,1.58129399930762,2.000819442684431,-0.04734525155733271
3,16,SRC-0001,24,1.5513391272193222,1.8562597425369758,-0.7100249289148584
3,17,SRC-0002,16,0.7827546723665436,1.10614563673418,-0.040929908663093206
3,18,SRC-0003,20,1.0004745960570196,1.4373476349149363,0.4283887406048815
3,19,SRC-0004,20,0.5991038931982068,0.9834014194797802,0.24215728520349955
5,0,SRC-0001,32,1.1599329812465193,1.3314959618937467,0.12015806623357128
5,1,SRC-0002,37,1.035777298749564,1.1813855649962153,-0.18735390819407627
5,2,SRC-0003,37,0.5332933500935592,0.5627999449260672,0.9123634585540399
5,3,SRC-0004,41,1.1119526963994528,1.2038429374838435,-0.13568287449862448
5,4,SRC-0005,30,1.909212080659118,2.309372408915141,0.01552707594341518
5,5,SRC-0006,29,1.0778678581284231,1.1599085370102702,0.4764612222265252
5,6,SRC-0007,32,0.9928526316060775,1.2943281687555286,0.0651251718431084
5,7,SRC-0008,30,2.115914950125498,2.395721058868636,-2.5602502275954713
5,8,SRC-0009,39,1.0329304505740466,1.1716433890407258,0.7628185355322318
5,9,SRC-0010,36,1.546300969870967,1.9039892441172037,0.3524146955275934
5,10,SRC-0011,34,0.9088304634760815,1.0628861115415433,0.6496708375228422
5,11,SRC-0012,37,0.5926305314152701,0.70001030296112,0.5227025691709328
5,12,SRC-0013,36,2.2274136191524496,2.8086149663027125,-0.22115384616831024
5,13,SRC-0014,33,1.6709839116939609,2.2721778575451825,-1.080997207439328
5,14,SRC-0015,37,1.3872357430776012,1.7270980016123012,-4.674896565371136
5,15,SRC-0016,46,1.4582611655777966,1.8140505123243815,0.13906012710577198
5,16,SRC-0001,33,0.7980179687830666,0.9834578866330626,0.5200052532105361
5,17,SRC-0002,33,0.8342030071470302,1.0601875092920614,0.04377029133307242
5,18,SRC-0003,41,1.6183641286421888,1.9482434835588356,-0.050179658548637374
5,19,SRC-0004,33,1.0799136274828947,1.278374165135119,-0.28065865543570956
8,0,SRC-0001,58,1.3442758856675465,1.4375987328581954,-0.025652663382376595
8,1,SRC-0002,51,1.777353157507325,1.925134270690035,-2.1529633063223947
8,2,SRC-0003,70,1.228253606566837,1.5505690093953555,0.3347891309163121
8,3,SRC-0004,55,0.6677303395596933,1.1086905853118787,0.036751951838024044
8,4,SRC-0005,52,1.8547507357658994,2.2770116239598672,0.04292422010302677
8,5,SRC-0006,52,1.0071111348982165,1.1004874381000058,0.5287281014185214
8,6,SRC-0007,47,0.9979760361548863,1.1618250755174375,0.24673783929415893
8,7,SRC-0008,51,2.1709863676010093,2.4866905604938343,-2.8357607739278836
8,8,SRC-0009,54,1.2833681490036266,1.5731747764503456,0.5723939880616356
8,9,SRC-0010,54,1.5409954970238173,1.9609132435930428,0.3131138448835826
8,10,SRC-0011,52,0.729080027042647,0.7775473386705951,0.8125193266036809
8,11,SRC-0012,53,0.5914123703076384,0.6863809353071519,0.5411078201634006
8,12,SRC-0013,53,2.3112383877782463,3.2197680678566094,-0.6048525921442607
8,13,SRC-0014,59,1.9650950719884939,2.5131124002962784,-1.5457202486846873
8,14,SRC-0015,66,0.9565302872879111,1.225513262762542,-1.8573274810119211
8,15,SRC-0016,47,1.5989357789377376,1.7998169840640301,0.1525174558919291
8,16,SRC-0001,55,0.567077333196284,0.6310809799549254,0.802350767612472
8,17,SRC-0002,46,0.5660237025369935,0.7420981891164562,0.5314891967256612
8,18,SRC-0003,58,1.1962738131444595,1.6887556336904255,0.21093867203352268
8,19,SRC-0004,55,0.8937375904678138,1.1387990164369797,-0.016275802493220137
11,0,SRC-0001,77,0.7045568501192696,0.958921115024538,0.5436577147196511
11,1,SRC-0002,77,0.7906132195324806,0.9164726647487133,0.2854446126099083
11,2,SRC-0003,73,1.1371054519724013,1.5307872066618493,0.3516540752225339
11,3,SRC-0004,80,0.7532738599993045,1.03927789666613,0.15358997213270942
11,4,SRC-0005,74,1.751215052546335,2.2421211109112975,0.0720299358586225
11,5,SRC-0006,78,1.0594729749801524,1.1460626469170405,0.4888856421357517
11,6,SRC-0007,74,0.7925861274355639,0.9827197197992337,0.46108037064832175
11,7,SRC-0008,74,2.025846539652016,2.284228010363201,-2.2365843330611184
11,8,SRC-0009,77,0.9787658581855965,1.1034284961076497,0.789632694446061
11,9,SRC-0010,71,1.4341186434425945,1.7465682366820818,0.4550720060130845
11,10,SRC-0011,74,0.9439264192867202,0.9980415647890031,0.6911126781966146
11,11,SRC-0012,76,0.41096890650061074,0.49185647507214697,0.764355656896175
11,12,SRC-0013,75,1.792992881193796,2.3490278332559247,0.14579463345405175
11,13,SRC-0014,76,1.8090882998671471,2.444951696513731,-1.4095027021568294
11,14,SRC-0015,80,1.2245629829510358,1.505137570151985,-3.309991163059255
11,15,SRC-0016,76,1.2038527728434154,1.4854717504255137,0.422698262700943
11,16,SRC-0001,76,0.9953035887397759,1.221389390531943,0.2596565541915675
11,17,SRC-0002,75,0.5966520669003248,0.7026616701468866,0.5799612153064664
11,18,SRC-0003,71,0.7987251260310148,1.0910583622700953,0.6706382952566197
11,19,SRC-0004,70,0.9963365947970417,1.2540510485413028,-0.23238910334569174
14,0,SRC-0001,99,0.7812114746576939,0.918202218460723,0.5815904148951895
14,1,SRC-0002,96,0.6623043024640682,0.7626748269311365,0.5051475892428696
14,2,SRC-0003,99,0.9267072297984132,1.1865866944457484,0.6104384495206928
14,3,SRC-0004,97,0.810616519230909,1.1018624675581548,0.04858017099970435
