outer_source,grid_index,parameters,inner_grouped_mae
SRC-0001,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3031321086234484
SRC-0001,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.4069478297789781
SRC-0001,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3053860489347964
SRC-0001,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3231630029070844
SRC-0001,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.302326536541072
SRC-0001,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3335768902864753
SRC-0002,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3191478346431846
SRC-0002,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.4094749264626312
SRC-0002,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3110619601722815
SRC-0002,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.30085384203539
SRC-0002,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3196282483354211
SRC-0002,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3136535122283957
SRC-0003,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2944434940012288
SRC-0003,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.4040784945035862
SRC-0003,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3011022372317709
SRC-0003,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3063639821081838
SRC-0003,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3195110954878755
SRC-0003,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3367668617016502
SRC-0004,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3486983484483914
SRC-0004,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.42333554338933
SRC-0004,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3319258942977157
SRC-0004,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.316047952119233
SRC-0004,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3515308939101731
SRC-0004,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3375478801534442
SRC-0005,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2643336822708675
SRC-0005,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3452645647585162
SRC-0005,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2834614584431219
SRC-0005,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2974037293886034
SRC-0005,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3040374309441853
SRC-0005,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3012316577342384
SRC-0006,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2808217651340228
SRC-0006,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3077576684284016
SRC-0006,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2728551642972854
SRC-0006,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2945775197930693
SRC-0006,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2935382234219397
SRC-0006,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3050351587900524
SRC-0007,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3097858473501032
SRC-0007,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3744291620270983
SRC-0007,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3253394317379386
SRC-0007,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3616380492308329
