outer_source,grid_index,parameters,inner_grouped_mae
SRC-0001,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2651277499956317
SRC-0001,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2279855192029
SRC-0001,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.261146349305862
SRC-0001,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2955572494739447
SRC-0001,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.304704384270686
SRC-0001,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3108337833888746
SRC-0002,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2853060842026507
SRC-0002,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2877815349277957
SRC-0002,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2735398520738435
SRC-0002,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.292185336189941
SRC-0002,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3217686000974778
SRC-0002,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.302633525981031
SRC-0003,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2755913788203286
SRC-0003,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2997964742091557
SRC-0003,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.271694140063507
SRC-0003,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3042057471094486
SRC-0003,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.298460642698876
SRC-0003,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.311124029899368
SRC-0004,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3247982115376584
SRC-0004,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3054828108657879
SRC-0004,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3154475414922702
SRC-0004,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3279848890830541
SRC-0004,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3213191631374286
SRC-0004,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.361519590861636
SRC-0005,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2547364313261702
SRC-0005,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3070735881732132
SRC-0005,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2688803741033856
SRC-0005,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.270513400306706
SRC-0005,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2789843409608799
SRC-0005,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.302051842269997
SRC-0006,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.267898179695292
SRC-0006,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.259879408415871
SRC-0006,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.266079618877825
SRC-0006,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2783459165237412
SRC-0006,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2770552749978583
SRC-0006,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.2903818554239175
SRC-0007,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.310894704274807
SRC-0007,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3525571829764134
SRC-0007,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2933344434607141
SRC-0007,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.3391242203395233
SRC-0007,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.3484378588253274
SRC-0007,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.3573220129112826
SRC-0008,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.1898044046054892
SRC-0008,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.1808916327932457
