outer_source,grid_index,parameters,inner_grouped_mae
SRC-0001,0,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.1894050335548816
SRC-0001,1,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 4, 'max_features': 0.7}",1.1803617201863992
SRC-0001,2,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.5}",1.185166108523504
SRC-0001,3,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 1.0}",1.196349733602319
SRC-0001,4,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.1902700884882509
SRC-0001,5,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 0.7}",1.179759693930539
SRC-0002,0,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.1969787972778765
SRC-0002,1,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 4, 'max_features': 0.7}",1.2060708793842079
SRC-0002,2,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.5}",1.2006034070095912
SRC-0002,3,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 1.0}",1.2033700918285462
SRC-0002,4,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.1998800043077484
SRC-0002,5,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 0.7}",1.2013179462582773
SRC-0003,0,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.209755301739787
SRC-0003,1,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 4, 'max_features': 0.7}",1.2155717282168874
SRC-0003,2,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.5}",1.2069035391822718
SRC-0003,3,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 1.0}",1.2226095993428165
SRC-0003,4,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.2077438753524732
SRC-0003,5,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 0.7}",1.2041455787784319
SRC-0004,0,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.2346033804539085
SRC-0004,1,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 4, 'max_features': 0.7}",1.2182036848811775
SRC-0004,2,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.5}",1.2387057097206453
SRC-0004,3,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 1.0}",1.2229976603242625
SRC-0004,4,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.244627317924383
SRC-0004,5,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 10, 'max_features': 0.7}",1.245628756585065
SRC-0005,0,"{'n_estimators': 400, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.7}",1.1964083445018383
SRC-0005,1,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 4, 'max_features': 0.7}",1.182035915195415
SRC-0005,2,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 0.5}",1.1927031027680126
SRC-0005,3,"{'n_estimators': 400, 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 6, 'max_features': 1.0}",1.2045502427058326
